Dates,News
01-12-2017,"Gold cuts losses for the week as political concerns roil the U.S. dollar, stocks"
18-04-2018,gundlach sees an unusual trend in gold
16-03-2018,turkey imports 60.5 tonnes of gold in jan-feb
31-10-2017,Gold logs a 1.1% monthly loss in October
01-01-2018,"gold's 2018 high price forecast: conservatively $1,434, aggressively $1,526"
21-02-2017,Gold shakes off dollar strength to finish flat amid geopolitical hand-wringing
23-09-2018,goldman sachs cuts its forecasts for gold (gold price pops)
27-04-2017,"Gold pares slight gain after jobless claims, durable-goods orders"
14-09-2017,"December gold down 0.5% at $1,321.70/oz."
18-04-2018,"Akshaya Tritiya 2018 | Gold to glitter amid uncertain times, strong trend likely for next one month"
12-10-2017,"Gold rises to Rs 30,830; silver rallies by Rs 235/kg"
30-05-2017,"Gold down $9.40, or 0.7%, at $1,262.30/oz."
07-09-2017,Gold prices add to gains after initial jobless-claims and productivity reports
22-06-2017,"August gold settles at $1,249.40/oz, up $3.60, or 0.3%"
27-07-2018,china's gold reserves may be slowly rising if history any guide
09-08-2017,"gold, silver gain on rising tension between us-north korea"
30-05-2018,Gold propped up by safe-haven buying in a VUCA environment
28-08-2017,"ride this equity rollercoaster, there is a pot of gold at the end: nilesh shah"
16-10-2018,"gold ends at another multimonth high, but u.s. stock market rally limits the metal's rise"
05-03-2018,gold prices find fresh support as trade war fears grip markets
20-09-2018,gold prices trade higher as dollar softens on easing trade concerns
08-03-2017,"gold cracks below rs 29,000 on reduced demand"
19-10-2017,Kelly defends Trump's call to Gold Star widow
25-06-2018,sharps pixley: greater china's imports of swiss gold continue strong
10-02-2017,"April gold off $9, or 0.7%, at $1,227.80/oz."
16-01-2018,aj bell : gold shares cheaper than bullion
14-11-2017,Gold ends higher as U.S. dollar index falls to a nearly 3-week low
14-09-2018,"Gold falls to Rs 31,400 on muted demand"
25-01-2018,"anz sees gold heading toward $1,400 by year-end"
03-08-2018,mining : investors want australia's gold producers to buy their u.s. rivals
04-06-2018,registered gold at comex has practically vanished
16-08-2017,"Dec. gold climbs $3.30, or 0.3%, to $1,283/oz after $1,273.20 intraday low"
08-08-2017,Gold holds modest gain after JOLTs data show record climb
14-12-2018,gold futures lose roughly 0.9% for the week
03-04-2017,"Gold inches up to Rs 29,270; silver slips to Rs 42,400 per kg"
10-10-2018,bank of taiwan : gold prices could rebound middle of next year
24-10-2017,"Gold recovers to Rs 30,510; silver recaptures Rs 41,000-mark"
03-04-2018,"Gold futures fall to Rs 30,890 per 10 gm "
27-03-2018,gold futures mark first decline in 5 sessions
03-01-2017,Gold futures move lower after data show rise in Dec. U.S. ISM index
31-10-2017,"Dec. gold falls $7.20, or 0.6%, to settle at $1,270.50/oz"
22-11-2017,Gold gains more ground as ICE U.S. Dollar Index trades near session lows
14-05-2018,"Gold, silver slip on reduced demand"
22-05-2017,gold trades lower in morning deals; silver up
26-01-2018,gold futures climb roughly 1.4% for the week
31-08-2017,Gold scores largest monthly gain since January
02-11-2018,"comex : the self-feeding, short-covering rally in gold prices"
22-02-2017,"Gold settles down $5.60, or 0.5%, at $1,233.30 an ounce"
15-12-2017,"government fixes sovereign gold bond rate at rs 2,866/gram"
28-02-2018,Gold prices fall slightly as outlook for faster US interest hikes weigh
07-11-2017,"Gold prices end lower, give back nearly half of their recent rally"
26-11-2017,gold gains slightly in asia with fed leadership changes eyed
26-12-2017,gold prices surge above 3-three week highs amid dollar weakness
22-02-2018,"Buy Comex gold if it touches $,1310/oz "
24-09-2018,Gold falls as dollar firms after China halts trade talks
21-11-2017,Gold recoups some of its losses from a day earlier
24-10-2017,Gold prices mark lowest finish since Oct. 6
31-03-2017,"gold, silver slip; it's time to tread with caution"
01-03-2017,Gold settles at its lowest level in a week
17-10-2018,ghana : pmmc partners indian company to establish gold refinery
15-10-2018,"Commodity outlook: Gold upside likely stay capped at Rs 32,000"
09-11-2017,Global gold demand declines by 9% to 915 tonnes in Q3: WGC
25-08-2017,"Gold prices end at highest level since early June, up 0.5% for the week"
10-03-2017,Gold holds losses after jobs report
31-07-2017,gold steady around highest in nearly 7 weeks on n.korea tensions
23-01-2019,"Gold steady as global growth, trade worries raise safe-haven demand"
19-11-2018,Gold perks up ahead of wedding season buys
28-09-2018,"dec. gold settles at $1,196.20/oz, up $8.80, or 0.7%, for the session"
28-07-2017,Gold prices trade near session highs after reports of missile test in North Korea
04-10-2017,"Bitcoin's rise may be like when 'paper money displaced gold,' says Goldman's CEO"
29-05-2018,jeff rhodes : gold bulls puzzled why metal hasn't performed amid tensions
16-02-2017,"Gold adds $4.40, or 0.4%, at $1,237.50/oz."
07-03-2017,Gold steady amid Fed rate hike expectations
27-10-2017,Gold climbs closer to session highs after U.S. consumer sentiment data
12-06-2017,gold mostly flat in asia as investors cautious ahead of fed policy views
15-05-2018,sharps pixley: gold etf inflows up sharply in april - wgc
04-07-2018,Weak dollar pushes gold prices to 1-week high
24-05-2018,"june gold gains $12.90, or 1%, to $1,302.60/oz"
18-05-2018,ray dalio remains focused on gold
16-03-2017,"April gold jumps $25.30, or 2.1%, to $1,226 an ounce"
23-04-2018,sharps pixley: russia adds to gold reserves again in march
19-11-2018,"Gold futures succumb to profit-booking, global cues "
11-10-2017,gold marginally down in futures trade on global cues
26-02-2017,Gold / Silver / Copper futures - weekly outlook: February 27 - March 3
29-08-2017,Gold prices mark highest finish since Sept. 29
26-10-2017,Trump's attack on Gold Star widow raises questions about civilian-military divide
28-09-2018,india : bse to launch gold & silver futures from oct 1
25-08-2017,"Gold logs highest settlement since early June, up 0.5% for the week"
01-06-2017,Gold futures prices trade off session lows
18-01-2018,india's gold bar inflows surged 62% in december
25-01-2018,"february gold adds 0.1% at $1,358.10/oz."
19-10-2017,"Gold for December delivery up 0.5% at $1,289.10"
04-10-2018,"Gold edges down as dollar firms up on upbeat US data, Fed comments"
12-08-2017,gst rate of 3% on gold too low: economic survey
21-05-2018,"charts : gold hangs on to key support level, but buyers have a lot to do still"
12-09-2017,Gold ETFs register Rs 300 cr outflow in April-August
21-11-2018,gold price forecast: monthly-high on radar amid string of higher-lows
21-03-2017,"Gold up a 4th session in row, settles at a nearly 3-week high"
04-12-2017,"Gold tumbles to Rs 30,200; silver falls by Rs 150/kg"
04-09-2017,gold rate: check out current gold price
17-01-2018,gold edges up as dollar index slumps to three-year lows
25-10-2018,india's gold buying season not looking as shiny
12-02-2018,gold futures score biggest 1-day gain in more than 2 weeks
11-09-2017,"gold gets a festive lift, tops rs 31,000-mark"
08-06-2017,Gold futures prices trade near the session's lows on Comex
17-12-2018,gold settles at a more than 1-week high as dollar softens ahead of fed decision
04-05-2017,"Gold investment demand falls 34%, but WGC says it was still 'robust'"
12-09-2017,"Dec. gold loses $3, or 0.2%, to settle at $1,332.70/oz"
21-02-2018,gold prices at 1-week lows as dollar remains supported
30-06-2017,Gold holds loss after Chicago PMI
21-08-2018,Gold at 8-month low: Should you start your festive buying early?
18-05-2018,gold prices slip as surging u.s. treasury yields lift dollar
21-05-2018,"Gold continues slide on muted demand, global cues "
19-06-2017,"Gold books a loss as stocks, dollar rally"
21-09-2017,"gold hits 3-week low; strong dollar, fed rate hike view weigh"
23-10-2017,Gold erases loss to end in positive territory as stocks lose steam
29-11-2018,europeans see more value in gold compared to north americans - mcewen
12-05-2017,"June gold up $5, or 0.4%, at $1,229.40/oz."
09-08-2018,metals focus : rising silver prices outperforming gold
21-04-2017,Gold holds steady as investors turn cautious ahead of French polls
24-07-2017,Gold prices turn modestly lower as ICE U.S. Dollar Index nears session highs
19-12-2017,"Gold jumps to Rs 29,700 on firm global cues, spot demand"
07-12-2017,"gold ends at a 4 1/2-month low as bitcoin soars, u.s. stocks climb"
17-10-2018,ghana : over 1000 jobs to be created as pmmc constructs gold refinery
26-03-2018,"could the stars be aligned for $1,500 gold?"
28-07-2017,"Gold falls to Rs 29,300; silver down at Rs 39,150"
18-01-2018,"february gold down $11.30, or 0.9%, at $1,327.40/oz."
20-01-2017,Gold futures post gain of about 0.7% for the week
16-01-2018,cftc : gold speculators sharply added to bullish net positions for 4th week
30-08-2017,"Gold tumbles to Rs 30,100; silver slips below Rs 41K-mark"
20-11-2018,gold futures mark first loss in 5 sessions
26-05-2017,Gold pares gains slightly after GDP and durable-goods readings
12-10-2018,Gold near highest in over two months as equity plunge boosts safe-haven appeal
21-12-2017,Gold Prices Steady on Dollar Weakness as Q3 GDP Cools
08-09-2017,"Gold prices end slightly higher, tally third-weekly gain in a row"
17-05-2017,"Gold futures jump to Rs 28,235 per 10 gm"
03-08-2017,Gold deepens pullback from 7-week highs; U.S. payrolls data awaited
12-04-2017,Gold near 5-month highs in risk-off trade
12-11-2018,lbma to reveal size of london's gold market on nov. 20
23-11-2017,ubs: gold going nowhere anytime soon
12-09-2017,Fed's is following a playbook written when gold fled the Nazis
15-09-2017,Gold futures little changed after data
18-10-2017,"Gold Prices Down In Asia After Regional Data Sets, India Demand In Focus"
30-05-2017,"Gold's early decline holds steady after inflation, personal-spending data"
16-02-2017,gold futures up by rs 91 on firm global cues
05-12-2018,"goldman sachs : gold seen rising to us$1,350  in 12 months"
02-02-2017,gold to trade in 28357-29129 range: achiievers equities
05-05-2017,"June gold falls $1.70, or 0.1%, to settle at $1,226.90/oz"
09-02-2018,world gold council : north american gold-backed etfs dominate in january
15-05-2018,"a crypto tycoon, banking heir and the mysterious fight for gold"
03-07-2017,dhanteras in june for gold trade
20-10-2017,"gold, silver scale higher on diwali muhurat trade"
05-05-2017,"bad week for commodities: oil, gold, nickel, all take a fall"
25-10-2018,Gold Rate Today: Gold rises in futures trade; up 0.54% on global cues
20-10-2017,Gold Prices Drop on Stronger U.S. Dollar
13-11-2018,Gold falls to one-month low on stronger dollar
14-11-2017,"Bitcoin Pares Losses, Bitcoin Gold Plunges 17%"
14-07-2017,Gold marks highest finish of the month
04-08-2017,gold steady near 7-week highs ahead of us jobs data
03-08-2017,"Gold falls to Rs 29,430; silver down at Rs 38,700 per kg"
26-07-2017,Gold edges up in electronic trading as Fed stands pat on interest rates
27-09-2018,why new gold bulls have gone extinct
08-02-2017,Gold futures log highest settlement in almost 13 weeks
11-09-2017,"Dec. gold drops $15.50, or 1.2%, to settle at $1,335.70/oz"
24-03-2017,"April gold settles at $1,248.50/oz, up $1.30, or 0.1%"
23-03-2017,"April gold off 70 cents, or less than 0.1%, at $1,249.20/0z."
07-02-2018,"april gold drops $12.70, or 1%, to trade at $1,316.80/oz"
31-08-2017,"Gold futures add to slight loss after employment, inflation reports"
23-03-2017,Gold futures end lower after 5-session climb
21-08-2018,Gold prices extend gains as dollar sags after Donald Trump remarks
24-04-2017,Gold ends lower as havens lose ground after French vote
25-10-2018,Gold climbs towards 3-month peak as equity rout sparks safe-haven rush
23-01-2018,"gold prices gain in asia on weaker dollar, trump trade policies eyed"
03-10-2017,Gold falls to 7-week low as rate hike expectations rise
19-07-2018,charts : gold bounces from one-year low but dollar weighs
18-10-2017,"Gold settles lower, then edges up in electronic trade after Fed Beige Book"
15-06-2018,italy : will italy sink the eu and boost gold?
30-08-2017,"Gold futures off 0.4% at $1,313.60/oz."
20-12-2017,gold prices little changed as dollar holds steady on tax bill hopes
25-11-2017,"next sovereign gold bond issue price fixed at rs 2,961 per gram"
03-05-2017,why now may be a good time to buy gold and silver
07-12-2018,investors chronicle :  gold in recessions
14-09-2017,Gold ends higher to halt streak of declines
05-04-2018,neutron star mergers may create much of the universe's gold
27-11-2018,Gold up by Rs 46 in futures trade on steady demand
25-09-2017,"Gold falls as dollar firms up, N. Korea worries ease"
06-07-2017,"August gold 0.3% higher at $1,225.90/oz."
18-12-2017,"singapore's core exports rise due to gold, chemicals"
15-03-2017,Gold futures finish lower ahead of Fed interest-rate decision
19-11-2018,Gold prices hold steady amid subdued dollar
04-05-2017,Gold futures settle at lowest level in about seven weeks
27-04-2017,Gold snaps 3-day losing streak
05-05-2017,Gold prices lose over 3% for the week
20-07-2017,"Gold falls to Rs 29,050; silver down at Rs 38,500 per kg"
21-08-2017,Speculators haven't been this bullish on gold since October
17-11-2017,"Gold prices rally toward $1,300 to finish at a more than 1-month high"
29-08-2017,Gold marks highest finish since late September 2016
18-10-2017,"Gold down a third day on dollar strength, with inflation risk in focus"
